From kanazawa@hoosegow.CS.Berkeley.EDU Thu May 25 11:11:42 1995
Received: from hoosegow.CS.Berkeley.EDU (hoosegow.CS.Berkeley.EDU [128.32.37.42]) by orodruin.CS.Berkeley.EDU (8.6.10/8.7.0.Beta0) with ESMTP id LAA24592 for <russell@orodruin.CS.Berkeley.EDU>; Thu, 25 May 1995 11:11:41 -0700
Received: from hoosegow.CS.Berkeley.EDU (localhost.Berkeley.EDU [127.0.0.1]) by hoosegow.CS.Berkeley.EDU (8.6.11/8.6.9) with ESMTP id LAA02191 for <russell@hoosegow.CS.Berkeley.EDU>; Thu, 25 May 1995 11:11:25 -0700
From: Keiji Kanazawa <kanazawa@CS.Berkeley.EDU>
Message-Id: <199505251811.LAA02191@hoosegow.CS.Berkeley.EDU>
To: russell@hoosegow.CS.Berkeley.EDU
Date: Thu, 25 May 1995 11:11:24 -0700
Status: R

# 50 runs  50 slices  25 trials  absolute error
#
# Epoch     LW        LC        ER        SF        E/S
     0      0.019934  0.036949  0.029300  0.024557  0.030600
     1      0.064142  0.046730  0.030099  0.059556  0.035008
     2      0.080226  0.077336  0.028219  0.069821  0.029884
     3      0.121492  0.105080  0.026000  0.092534  0.027451
     4      0.137061  0.144928  0.028092  0.086186  0.031858
     5      0.168761  0.149537  0.030480  0.081124  0.033124
     6      0.239539  0.226413  0.035865  0.102112  0.030573
     7      0.216615  0.221898  0.036108  0.091579  0.035074
     8      0.307605  0.241927  0.031561  0.095811  0.025294
     9      0.351711  0.278392  0.039581  0.072426  0.033027
    10      0.356438  0.429263  0.041077  0.058893  0.030830
    11      0.438957  0.484376  0.040282  0.066459  0.033109
    12      0.455747  0.509991  0.041728  0.098328  0.028396
    13      0.535186  0.624159  0.052416  0.118843  0.038492
    14      0.670600  0.646763  0.047904  0.127476  0.030213
    15      0.738472  0.672457  0.046959  0.094793  0.043388
    16      0.748864  0.734856  0.045340  0.107289  0.033639
    17      0.711382  0.702858  0.048737  0.112378  0.028865
    18      0.803794  0.788514  0.046057  0.096022  0.026690
    19      0.807605  0.849761  0.033920  0.089202  0.026991
    20      0.906793  0.879792  0.043059  0.086034  0.027952
    21      0.858868  0.894823  0.057821  0.087898  0.028166
    22      0.959561  0.919087  0.041601  0.078900  0.030094
    23      0.956372  0.901539  0.054576  0.090494  0.025847
    24      0.959003  0.947787  0.047118  0.080949  0.032622
    25      0.979628  0.959504  0.052291  0.084106  0.030231
    26      0.989814  0.959968  0.043857  0.102222  0.030166
    27      0.950113  0.959998  0.066471  0.109511  0.023626
    28      1.000000  0.968999  0.047501  0.110712  0.025050
    29      0.989815  0.989814  0.047032  0.083210  0.030350
    30      0.980373  0.981391  0.045905  0.123975  0.035941
    31      0.980408  1.000000  0.061196  0.092660  0.030947
    32      1.000000  1.000000  0.049170  0.113795  0.030674
    33      0.980373  1.000000  0.051218  0.111273  0.024270
    34      1.000000  1.000000  0.050918  0.091581  0.023765
    35      1.000000  1.000000  0.078651  0.080082  0.038781
    36      1.000000  1.000000  0.060246  0.087922  0.036419
    37      1.000000  1.000000  0.061153  0.089605  0.028853
    38      1.000000  1.000000  0.059817  0.054432  0.027728
    39      0.989981  1.000000  0.065911  0.060178  0.029011
    40      1.000000  1.000000  0.069191  0.102017  0.028637
    41      1.000000  1.000000  0.065167  0.121164  0.028354
    42      1.000000  1.000000  0.062961  0.113248  0.024216
    43      1.000000  1.000000  0.073713  0.079417  0.027136
    44      1.000000  1.000000  0.055424  0.073193  0.028940
    45      1.000000  1.000000  0.054238  0.072799  0.031034
    46      1.000000  1.000000  0.061136  0.093701  0.028304
    47      1.000000  1.000000  0.057705  0.092679  0.026224
    48      1.000000  1.000000  0.047569  0.080967  0.027006
    49      1.000000  1.000000  0.095050  0.103315  0.034582
    50      1.000000  1.000000  0.055681  0.093866  0.029377

